,skin,fat,muscle,ijv,cca
410,22.0,18.666666666666668,6.5,52.0,52.0
411,22.0,18.666666666666668,6.5,44.75,44.75
412,22.0,18.666666666666668,6.5,37.5,37.5
413,22.0,18.666666666666668,6.5,30.25,30.25
414,22.0,18.666666666666668,6.5,23.0,23.0
415,22.0,18.666666666666668,5.25,52.0,52.0
416,22.0,18.666666666666668,5.25,44.75,44.75
417,22.0,18.666666666666668,5.25,37.5,37.5
418,22.0,18.666666666666668,5.25,30.25,30.25
419,22.0,18.666666666666668,5.25,23.0,23.0
420,22.0,18.666666666666668,4.0,52.0,52.0
421,22.0,18.666666666666668,4.0,44.75,44.75
422,22.0,18.666666666666668,4.0,37.5,37.5
423,22.0,18.666666666666668,4.0,30.25,30.25
424,22.0,18.666666666666668,4.0,23.0,23.0
425,22.0,16.5,9.0,52.0,52.0
426,22.0,16.5,9.0,44.75,44.75
427,22.0,16.5,9.0,37.5,37.5
428,22.0,16.5,9.0,30.25,30.25
429,22.0,16.5,9.0,23.0,23.0
430,22.0,16.5,7.75,52.0,52.0
431,22.0,16.5,7.75,44.75,44.75
432,22.0,16.5,7.75,37.5,37.5
433,22.0,16.5,7.75,30.25,30.25
434,22.0,16.5,7.75,23.0,23.0
435,22.0,16.5,6.5,52.0,52.0
436,22.0,16.5,6.5,44.75,44.75
437,22.0,16.5,6.5,37.5,37.5
438,22.0,16.5,6.5,30.25,30.25
439,22.0,16.5,6.5,23.0,23.0
440,22.0,16.5,5.25,52.0,52.0
441,22.0,16.5,5.25,44.75,44.75
442,22.0,16.5,5.25,37.5,37.5
443,22.0,16.5,5.25,30.25,30.25
444,22.0,16.5,5.25,23.0,23.0
445,22.0,16.5,4.0,52.0,52.0
446,22.0,16.5,4.0,44.75,44.75
447,22.0,16.5,4.0,37.5,37.5
448,22.0,16.5,4.0,30.25,30.25
449,22.0,16.5,4.0,23.0,23.0
450,22.0,14.333333333333334,9.0,52.0,52.0
451,22.0,14.333333333333334,9.0,44.75,44.75
452,22.0,14.333333333333334,9.0,37.5,37.5
453,22.0,14.333333333333334,9.0,30.25,30.25
454,22.0,14.333333333333334,9.0,23.0,23.0
455,22.0,14.333333333333334,7.75,52.0,52.0
456,22.0,14.333333333333334,7.75,44.75,44.75
457,22.0,14.333333333333334,7.75,37.5,37.5
458,22.0,14.333333333333334,7.75,30.25,30.25
459,22.0,14.333333333333334,7.75,23.0,23.0
460,22.0,14.333333333333334,6.5,52.0,52.0
461,22.0,14.333333333333334,6.5,44.75,44.75
462,22.0,14.333333333333334,6.5,37.5,37.5
463,22.0,14.333333333333334,6.5,30.25,30.25
464,22.0,14.333333333333334,6.5,23.0,23.0
465,22.0,14.333333333333334,5.25,52.0,52.0
466,22.0,14.333333333333334,5.25,44.75,44.75
467,22.0,14.333333333333334,5.25,37.5,37.5
468,22.0,14.333333333333334,5.25,30.25,30.25
469,22.0,14.333333333333334,5.25,23.0,23.0
470,22.0,14.333333333333334,4.0,52.0,52.0
471,22.0,14.333333333333334,4.0,44.75,44.75
472,22.0,14.333333333333334,4.0,37.5,37.5
473,22.0,14.333333333333334,4.0,30.25,30.25
474,22.0,14.333333333333334,4.0,23.0,23.0
475,22.0,12.166666666666668,9.0,52.0,52.0
476,22.0,12.166666666666668,9.0,44.75,44.75
477,22.0,12.166666666666668,9.0,37.5,37.5
478,22.0,12.166666666666668,9.0,30.25,30.25
479,22.0,12.166666666666668,9.0,23.0,23.0
480,22.0,12.166666666666668,7.75,52.0,52.0
481,22.0,12.166666666666668,7.75,44.75,44.75
482,22.0,12.166666666666668,7.75,37.5,37.5
483,22.0,12.166666666666668,7.75,30.25,30.25
484,22.0,12.166666666666668,7.75,23.0,23.0
485,22.0,12.166666666666668,6.5,52.0,52.0
486,22.0,12.166666666666668,6.5,44.75,44.75
487,22.0,12.166666666666668,6.5,37.5,37.5
488,22.0,12.166666666666668,6.5,30.25,30.25
489,22.0,12.166666666666668,6.5,23.0,23.0
490,22.0,12.166666666666668,5.25,52.0,52.0
491,22.0,12.166666666666668,5.25,44.75,44.75
492,22.0,12.166666666666668,5.25,37.5,37.5
493,22.0,12.166666666666668,5.25,30.25,30.25
494,22.0,12.166666666666668,5.25,23.0,23.0
495,22.0,12.166666666666668,4.0,52.0,52.0
496,22.0,12.166666666666668,4.0,44.75,44.75
497,22.0,12.166666666666668,4.0,37.5,37.5
498,22.0,12.166666666666668,4.0,30.25,30.25
499,22.0,12.166666666666668,4.0,23.0,23.0
500,22.0,10.0,9.0,52.0,52.0
501,22.0,10.0,9.0,44.75,44.75
